"Serial_Number","Schedule_Number","Depot_Code"
"305","285T","11"
"306","280F","11"
"307","280F","11"
"308","CS-35","11"
"309","284D","11"
"310","298MV","11"
"311","298M","11"
"312","253L","30"
"313","279E","30"
"314","284D","30"
"315","285m","30"
"316","285m","30"
"317","285V","30"
"318","285y","30"
"319","285AA","30"
"320","285RA","30"
"321","286A","30"
"322","286E","30"
"323","288D","30"
"324","289A","30"
"325","289P","30"
"326","297m","30"
"327","356J","30"
"328","401","30"
"329","401K","30"
"330","401Q","30"
"331","401R","30"
"332","401RA","30"
"333","402D","30"
"334","402G","30"
"335","402J","30"
"336","404J","30"
"337","407D","30"
"338","TR-9","30"
"339","TR-9","30"
"340","CS-26","30"
"341","401BC","30"
"342","BC-9B","30"
"343","285MC","30"
"344","298M","30"
"345","298md","30"
"346","285G","30"
"347","298L","30"
"348","298MG","30"
"349","298Y","30"
"350","284","30"
"351","500AA","30"
"352","401R","30"
"353","298M","11"
"354","298ME","11"
"355","285E","30"
"356","281A","30"
"357","298M","30"
"358","285MC","30"
"359","298M","30"
"360","276B","30"
"361","401","30"
"362","2","30"
"363","29","30"
"364","500A","14"
"365","288A","14"
"366","111","14"
"367","111","14"
"368","111","14"
"369","TR-3","14"
"370","TR-3","14"
"371","111C","14"
"372","TR-3","14"
"373","111C","14"
"374","114","14"
"375","114","14"
"376","176","14"
"377","111E","14"
"378","176","14"
"379","114","14"
"380","180","14"
"381","500DK","14"
"382","180","14"
"383","114A","14"
"384","114C","14"
"385","114C","14"
"386","415","14"
"387","114C","14"
"388","114C","14"
"389","176","14"
"390","176","14"
"391","176","14"
"392","114B","14"
"393","176","14"
"394","114D","14"
"395","176","14"
"396","176","14"
"397","114G","14"
"398","176","14"
"399","500DK","14"
"400","279E","14"
"401","501A","14"
"402","415B","14"
"403","415","14"
"404","278E","14"
"405","415","14"
"406","279","14"
"407","415b","14"
"408","415B","14"
"409","176","14"
"410","415G","14"
"411","501C","14"
"412","415F","14"
"413","415F","14"
"414","501A","14"
"415","176CA","14"
"416","111E","14"
"417","112A","14"
"418","112","14"
"419","112","14"
"420","300V","14"
"421","287P","14"
"422","500A","14"
"423","287B","14"
"424","287R","14"
"425","415D","14"
"426","500AB","14"
"427","87A","17"
"428","323C","41"
"429","317T","39"
"430","332","41"
"431","328E","41"
"432","322","29"
"433","289F","39"
"434","298P","39"
"435","328","41"
"436","325","41"
"437","317E","39"
"438","323F","41"
"439","306Q","29"
"440","323E","41"
"441","307C","29"
"442","308A","29"
"443","329C","41"
"444","308B","29"
"445","324E","41"
"446","311","29"
"447","329","41"
"448","311","29"
"449","327E","41"
"450","298P","39"
"451","317MA","39"
"452","381A","39"
"453","324A","41"
"454","323B","41"
"455","502B","41"
"456","328F","41"
"457","329M","41"
"458","329L","41"
"459","298PA","39"
"460","298PC","39"
"461","317G","39"
"462","298PB","39"
"463","322A","29"
"464","317M","39"
"465","317M","39"
"466","317D","39"
"467","300C","29"
"468","500-DK","14"
"469","317G","39"
"470","382M","39"
"471","280F","39"
"472","317K","39"
"473","305A","39"
"474","289F","39"
"475","317V","39"
"476","317V","39"
"477","346B","19"
"478","325","41"
"479","300E","29"
"480","346E","19"
"481","300F","29"
"482","300H","29"
"483","346D","19"
"484","289H","39"
"485","381G","39"
"486","326E","39"
"487","383A","39"
"488","399F","39"
"489","317W","39"
"490","382A","39"
"491","311K","29"
"492","317B","39"
"493","316V","39"
"494","380C","39"
"495","334E","39"
"496","334E","39"
"497","380C","39"
"498","319","39"
"499","313A","29"
"500","328H","39"
"501","350E","19"
"502","306J","29"
"503","313B","29"
"504","351A","19"
"505","340","38"
"506","313G","29"
"507","300E","24"
"508","350D","19"
"509","300H","29"
"510","317N","39"
"511","500D","29"
"512","317C","39"
"513","328H","39"
"514","300H","29"
"515","314A","29"
"516","500D","29"
"517","317YA","39"
"518","317M","39"
"519","314H","29"
"520","315","29"
"521","500D","29"
"522","334E","39"
"523","317Y","39"
"524","399A","39"
"525","315L","29"
"526","334E","39"
"527","300H","29"
"528","317SA","39"
"529","347G","19"
"530","326E","39"
"531","380E","39"
"532","315V","29"
"533","316D","29"
"534","300P","29"
"535","353B","19"
"536","317S","39"
"537","317R","39"
"538","316J","29"
"539","380Q","39"
"540","500D","29"
"541","316K","29"
"542","317TD","39"
"543","317YB","39"
"544","317Z","39"
"545","381J","39"
"546","357","19"
"547","301E","29"
"548","381K","39"
"549","360","19"
"550","346G","19"
"551","346K","19"
"552","346J","19"
"553","317V","39"
"554","340J","38"
"555","500D","29"
"556","360K","19"
"557","MKT-12HK","39"
"558","301E","29"
"559","MKT-12HK","39"
"560","301F","29"
"561","MKT-12HK","39"
"562","MKT-12HK","39"
"563","301R","29"
"564","340L","38"
"565","341B","38"
"566","302","29"
"567","362C","19"
"568","360K","19"
"569","346M","19"
"570","302F","29"
"571","303E","29"
"572","346N","19"
"573","304B","29"
"574","304F","29"
"575","346C","19"
"576","328HC","41"
"577","327G","41"
"578","329H","41"
"579","327B","41"
"580","323A","41"
"581","323","41"
"582","323J","41"
"583","323N","41"
"584","KBS-12HK","39"
"585","390","39"
"586","KBS-12HK","39"
"587","324","41"
"588","327A","41"
"589","381C","39"
"590","317G","39"
"591","323L","41"
"592","KBS-12HK","39"
"593","KBS-12HK","39"
"594","329A","41"
"595","381C","39"
"596","KBS-12HK","39"
"597","323G","41"
"598","381C","39"
"599","G-12","39"
"600","KBS-12HK","39"
"601","329B","41"
"602","KBS-12HK","39"
"603","KBS-12HK","39"
"604","329E","41"
"605","346F","19"
"606","304L","29"
"607","KBS-12HK","39"
"608","KBS-12HK","39"
"609","G-12","39"
"610","381C","39"
"611","12F-2","39"
"612","329F","41"
"613","381C","39"
"614","329G","41"
"615","G-12","39"
"616","12F-2","39"
"617","341C","38"
"618","380F","39"
"619","328H","41"
"620","G-12","39"
"621","334D","41"
"622","12F-3","39"
"623","304D","41"
"624","304","41"
"625","305D","41"
"626","360N","19"
"627","317J","39"
"628","341E","38"
"629","305D","41"
"630","305NT","39"
"631","12F-5","39"
"632","305D","41"
"633","306B","41"
"634","346CK","19"
"635","399A","39"
"636","380N","39"
"637","306T","41"
"638","12F-5","39"
"639","317Q","39"
"640","12F-5","39"
"641","12F-5","39"
"642","346CK","19"
"643","12F-1","39"
"644","12F-5","39"
"645","381C","39"
"646","306D","41"
"647","500DH","19"
"648","342G","38"
"649","320J","41"
"650","317QK","39"
"651","500D","29"
"652","320C","41"
"653","320E","41"
"654","317QK","39"
"655","319J","41"
"656","606","39"
"657","12F-1","39"
"658","12F-1","39"
"659","319G","41"
"660","306E","41"
"661","306E","41"
"662","304X","41"
"663","12F-1","39"
"664","321C","41"
"665","313L","29"
"666","322C","41"
"667","356M","19"
"668","342F","38"
"669","325A","41"
"670","500D","29"
"671","500F","24"
"672","500C","24"
"673","356M","19"
"674","300E","24"
"675","BC-9B","29"
"676","328E","41"
"677","500C","24"
"678","330P","41"
"679","500C","24"
"680","333K","41"
"681","316T","24"
"682","342F","38"
"683","359A","19"
"684","361C","19"
"685","347D","19"
"686","342K","38"
"687","347E","19"
"688","300E","24"
"689","347L","19"
"690","342J","38"
"691","347C","19"
"692","342MA","38"
"693","342L","38"
"694","350A","19"
"695","342H","38"
"696","350B","19"
"697","361C","19"
"698","361C","19"
"699","340K","19"
"700","BC3A","19"
"701","342W","38"
"702","356B","19"
"703","304N","29"
"704","346H","38"
"705","304V","29"
"706","345A","19"
"707","303","29"
"708","304E","29"
"709","304H","29"
"710","354C","19"
"711","300D","29"
"712","300E","29"
"713","360H","19"
"714","360J","19"
"715","355A","19"
"716","362C","19"
"717","378","19"
"718","356D","19"
"719","360D","19"
"720","378","19"
"721","378H","19"
"722","500C","24"
"723","398B","19"
"724","324B","41"
"725","306P","24"
"726","500C","24"
"727","500C","29"
"728","500C","24"
"729","324C","41"
"730","301E","24"
"731","362C","19"
"732","500C","29"
"733","312A","24"
"734","314X","29"
"735","304P","24"
"736","304Q","24"
"737","315DN","24"
"738","383D","24"
"739","304R","24"
"740","315T","29"
"741","316C","29"
"742","305L","24"
"743","305D","24"
"744","500C","29"
"745","MKT-12HK","24"
"746","316B","24"
"747","600D","19"
"748","342T","38"
"749","346S","38"
"750","305H","24"
"751","316A","24"
"752","313D","24"
"753","349A","38"
"754","316E","29"
"755","KBS-12HK","24"
"756","304V","29"
"757","349E","38"
"758","316G","29"
"759","313T","24"
"760","316F","29"
"761","349F","38"
"762","304V","29"
"763","316Q","24"
"764","304Z","29"
"765","316L","29"
"766","381H","24"
"767","347","38"
"768","349D","38"
"769","305B","29"
"770","349J","38"
"771","305M","29"
"772","315","24"
"773","316N","29"
"774","316R","29"
"775","300K","24"
"776","316Y","29"
"777","316R","24"
"778","313E","24"
"779","311E","24"
"780","316","24"
"781","304S","24"
"782","315J","24"
"783","317P","24"
"784","301F","24"
"785","380B","24"
"786","320H","24"
"787","304Q","24"
"788","381","24"
"789","304NA","24"
"790","305F","24"
"791","305S","24"
"792","306S","24"
"793","317B","29"
"794","349M","38"
"795","317G","29"
"796","507","24"
"797","326C","24"
"798","330H","24"
"799","313C","24"
"800","360E","38"
"801","318E","29"
"802","316Y","24"
"803","304M","29"
"804","335HD","41"
"805","321E","24"
"806","346CA","38"
"807","360","38"
"808","380G","24"
"809","500C","24"
"810","316B","24"
"811","361K","38"
"812","315D","24"
"813","316U","24"
"814","504C","24"
"815","MKT-12HK","24"
"816","315D","24"
"817","12F-4","24"
"818","360","38"
"819","306RA","24"
"820","360","38"
"821","500QK","24"
"822","315U","24"
"823","310","24"
"824","MF-6","24"
"825","328HB","24"
"826","310E","24"
"827","BC-3A","38"
"828","507A","24"
"829","315L","24"
"830","300C","24"
"831","301E","24"
"832","306","29"
"833","600F","38"
"834","306M","29"
"835","600F","38"
"836","KBS-3A","19"
"837","KBS-3A","19"
"838","KBS-3A","19"
"839","KBS-3A","19"
"840","KBS-3A","19"
"841","KBS-3A","19"
"842","KBS-3A","19"
"843","304J","24"
"844","330G","24"
"845","500F","24"
"846","KBS-3A","38"
"847","333Q","24"
"848","304E","24"
"849","304T","24"
"850","335F","24"
"851","KBS-3A","38"
"852","305H","24"
"853","305S","24"
"854","337","41"
"855","600F","38"
"856","221C","12"
"857","305V","24"
"858","305","24"
"859","305R","24"
"860","500TA","41"
"861","306C","24"
"862","306G","24"
"863","316B","24"
"864","313F","24"
"865","MF-6","24"
"866","313K","24"
"867","KBS-3A1","19"
"868","KBS-3A2","19"
"869","KBS-3A5","19"
"870","315K","24"
"871","222K","12"
"872","KBS-3C","19"
"873","315C","24"
"874","KBS-3C","19"
"875","315P","24"
"876","315P","24"
"877","328M","41"
"878","318","24"
"879","222N","12"
"880","321D","41"
"881","306J","39"
"882","306F","29"
"883","305J","29"
"884","284A","11"
"885","326C","24"
"886","506A","41"
"887","326C","24"
"888","321G","24"
"889","600F","38"
"890","327K","41"
"891","381E","24"
"892","600F","38"
"893","600CB","38"
"894","312","24"
"895","382D","24"
"896","500Q","24"
"897","382B","24"
"898","500Q","24"
"899","382C","24"
"900","506","24"
"901","500Q","24"
"902","500Q","24"
"903","500D","24"
"904","500D","24"
"905","500Q","24"
"906","500D","24"
"907","500GA","38"
"908","500L","38"
"909","KBS-3A8","38"
"910","KBS-3A9","38"
"911","328HA","41"
"912","500D","24"
"913","316M","24"
"914","500F","29"
"915","500D1","24"
"916","328G","41"
"917","307","24"
"918","306A","24"
"919","500QK","29"
"920","500D2","24"
"921","500D3","24"
"922","306MA","24"
"923","310B","24"
"924","316Y","24"
"925","500QK","29"
"926","500QK","29"
"927","MF-5","24"
"928","500QK","29"
"929","MF-5","24"
"930","310B","24"
"931","500QK","29"
"932","MBS-6","06"
"933","500QK","29"
"934","500QK","29"
"935","500F","29"
"936","MBS-6","06"
"937","314BM","06"
"938","307B","06"
"939","KBS-3A","38"
"940","500F","29"
"941","338","06"
"942","334E","06"
"943","314B","06"
"944","315E","06"
"945","323AK","41"
"946","500L","38"
"947","138","06"
"948","335B","06"
"949","500L","38"
"950","G-6","12"
"951","308B","06"
"952","308","06"
"953","339A","06"
"954","KBS-3A","38"
"955","306M","06"
"956","314FA","06"
"957","500C","06"
"958","138","06"
"959","314","06"
"960","314","06"
"961","KBS-3A","38"
"962","316D","06"
"963","314","06"
"964","330PG","29"
"965","304A","06"
"966","139","06"
"967","314C","06"
"968","314D","06"
"969","334C","29"
"970","380","29"
"971","12F-5","41"
"972","380E","29"
"973","330C","06"
"974","314B","06"
"975","314D","06"
"976","12F-5","41"
"977","361C","38"
"978","314E","06"
"979","12F-5","41"
"980","314F","06"
"981","381E","29"
"982","12F-5","41"
"983","314G","06"
"984","334E","06"
"985","382","29"
"986","306","29"
"987","334E","06"
"988","12F-2","41"
"989","201","06"
"990","502A","29"
"991","305K","29"
"992","305P","29"
"993","305Q","29"
"994","342JB","38"
"995","500L","38"
"996","500L","38"
"997","500L","38"
"998","356M","38"
"999","356M","38"
"1000","334E","06"
"1001","314H","06"
"1002","314N","06"
"1003","334E","06"
"1004","500D","11"
"1005","314P","06"
"1006","500D","11"
"1007","500D","11"
"1008","314T","06"
"1009","500D","11"
"1010","500F","41"
"1011","258TC","40"
"1012","500A","11"
"1013","255","40"
"1014","255A","40"
"1015","306H","29"
"1016","505E","06"
"1017","114A","14"
"1018","328H","41"
"1019","330","41"
"1020","255C","40"
"1021","306K","29"
"1022","304MC","41"
"1023","MBS-2","06"
"1024","306L","29"
"1025","329D","41"
"1026","MBS-2","06"
"1027","342X","38"
"1028","342V","38"
"1029","342A","38"
"1030","342U","38"
"1031","342F","38"
"1032","342E","38"
"1033","314M","06"
"1034","255E","40"
"1035","333F","06"
"1036","255J","40"
"1037","311C","06"
"1038","MF-7","06"
"1039","346V","38"
"1040","333C","06"
"1041","255E","40"
"1042","MF-7","06"
"1043","MBS-2","06"
"1044","MF-7","06"
"1045","328A","41"
"1046","290E","11"
"1047","201M","06"
"1048","328H","41"
"1049","258C","40"
"1050","342-N","38"
"1051","342-B","38"
"1052","349-B","38"
"1053","289A","30"
"1054","361-C","38"
