Serial_Number,Schedule_Number,Depot_Code,Count,Depots
5734,36A,21,3,"20,20,21"
2483,36B,20,3,20
2874,36B,2,3,"20,2"
6471,36B,8,3,"20,2,8"
2408,36D,20,2,20
3304,36D,3,2,"20,3"
2303,36F,20,3,20
2439,36F,20,3,"20,20"
3825,36F,3,3,"20,20,3"
4698,36G,16,2,16
4921,36G,21,2,"16,21"
2148,370A,27,2,27
2509,370A,34,2,"27,34"
2236,370B,27,1,27
6281,370D,27,1,27
4805,370E,27,1,27
2110,371A,34,1,34
2373,371D,27,1,27
2149,372A,27,1,27
2162,372B,27,1,27
2133,372C,34,1,34
2360,372E,27,1,27
2157,372F,27,1,27
2151,372G,27,1,27
2254,372H,34,1,34
2327,372J,27,1,27
2217,372M,27,1,27
2390,372MA,27,1,27
3747,373B,4,1,4
2791,373E,20,1,20
6121,373F,32,1,32
2745,373M,33,3,33
2749,373M,33,3,"33,33"
2877,373M,33,3,"33,33,33"
2326,374C,27,1,27
5075,374F,21,1,21
3230,374M,12,2,12
3786,374M,37,2,"12,37"
3149,374MA,12,1,12
2968,374N,35,3,35
3227,374N,35,3,"35,35"
5593,374N,35,3,"35,35,35"
3245,375B,12,3,12
3549,375B,37,3,"12,37"
3866,375B,37,3,"12,37,37"
4617,375C,21,1,21
3193,375D,33,6,33
5076,375D,21,6,"33,21"
5692,375D,21,6,"33,21,21"
5701,375D,21,6,"33,21,21,21"
5755,375D,37,6,"33,21,21,21,37"
6128,375D,33,6,"33,21,21,21,37,33"
3224,375E,12,1,12
3622,375G,36,3,36
3625,375G,36,3,"36,36"
3659,375G,36,3,"36,36,36"
4577,375GA,15,2,15
4580,375GA,15,2,"15,15"
4504,375H,21,1,21
3240,375J,12,1,12
3719,377A,36,1,36
3909,377B,37,1,37
2381,378A,27,2,27
2385,378A,27,2,"27,27"
2596,378B,34,2,34
4574,378B,34,2,"34,34"
5949,378C,34,6,34
6109,378C,34,6,"34,34"
6110,378C,34,6,"34,34,34"
6111,378C,34,6,"34,34,34,34"
6114,378C,34,6,"34,34,34,34,34"
6155,378C,20,6,"34,34,34,34,34,20"
2872,378D,33,2,33
6070,378D,32,2,"33,32"
2423,378F,27,1,27
2691,378G,33,1,33
721,378H,19,2,19
2587,378H,34,2,"19,34"
6266,378M,33,1,33
5989,378N,37,1,37
2139,37A,2,1,2
4712,37B,16,1,16
4714,37D,16,1,16
3198,37E,4,2,4
6115,37E,3,2,"4,3"
4717,37F,16,1,16
785,380B,24,2,24
5990,380B,39,2,"24,39"
494,380C,39,2,39
497,380C,39,2,"39,39"
531,380E,39,2,39
972,380E,29,2,"39,29"
618,380F,39,1,39
808,380G,24,1,24
636,380N,39,1,39
6074,380P,39,1,39
539,380Q,39,1,39
