"busstop","bus_route_no"
"Jayanagara 9th Block,JAYANAGARA 9TH BLOCK,BESIDE HOTEL SRI SAI",""
"Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK",
"Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER",
"Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION",
"Jayanagara 4th Block,TTMC",
"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS",
"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE",
"Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR",
"Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT",
"Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK",
"Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION",
"Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA",
"Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA",
"Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE",
"Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK",
"Makkalakoota",
"Krishnarajendra Market",
"Veterinary Hospital",
"Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL",
"Majestic,Opposite to City Railway Station",
"Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION",
"Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID",
"Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE",
"Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET",
"Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR",
"Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY",
"Tata Institute",
"Yeshawanthapura TTMC",
"Govardhan Talkies,YESHAWANTHPURA,BESIDE BSNL OFFICE",
"Yeshwanathapura new railway station",
