route_no,time,time_hr,time_min,min
400A,00:40 Min,0,40,40
415,00:40 Min,0,40,40
415J,00:40 Min,0,40,40
2,00:45 Min,0,45,45
2A,00:45 Min,0,45,45
CHAKRA-2,00:45 Min,0,45,45
13,00:45 Min,0,45,45
13G,00:45 Min,0,45,45
15C,00:45 Min,0,45,45
15L,00:45 Min,0,45,45
18,00:45 Min,0,45,45
24E,00:45 Min,0,45,45
25H,00:45 Min,0,45,45
29E,00:45 Min,0,45,45
31,00:45 Min,0,45,45
31E,00:45 Min,0,45,45
33,00:45 Min,0,45,45
36B,00:45 Min,0,45,45
36D,00:45 Min,0,45,45
36F,00:45 Min,0,45,45
37E,00:45 Min,0,45,45
37F,00:45 Min,0,45,45
43,00:45 Min,0,45,45
43A,00:45 Min,0,45,45
43E,00:45 Min,0,45,45
43J,00:45 Min,0,45,45
50,00:45 Min,0,45,45
50A,00:45 Min,0,45,45
58,00:45 Min,0,45,45
61E,00:45 Min,0,45,45
80F,00:45 Min,0,45,45
80G,00:45 Min,0,45,45
92E,00:45 Min,0,45,45
95B,00:45 Min,0,45,45
95G,00:45 Min,0,45,45
98C,00:45 Min,0,45,45
108,00:45 Min,0,45,45
114,00:45 Min,0,45,45
114B,00:45 Min,0,45,45
114G,00:45 Min,0,45,45
143A,00:45 Min,0,45,45
146B,00:45 Min,0,45,45
168E,00:45 Min,0,45,45
201Q,00:45 Min,0,45,45
210,00:45 Min,0,45,45
210D,00:45 Min,0,45,45
212D,00:45 Min,0,45,45
215A,00:45 Min,0,45,45
215B,00:45 Min,0,45,45
215CD,00:45 Min,0,45,45
215U,00:45 Min,0,45,45
225DA,00:45 Min,0,45,45
225P,00:45 Min,0,45,45
235F,00:45 Min,0,45,45
238,00:45 Min,0,45,45
238B,00:45 Min,0,45,45
238K,00:45 Min,0,45,45
238L,00:45 Min,0,45,45
239D,00:45 Min,0,45,45
240D,00:45 Min,0,45,45
242CB,00:45 Min,0,45,45
242D,00:45 Min,0,45,45
242G,00:45 Min,0,45,45
242TC,00:45 Min,0,45,45
243B,00:45 Min,0,45,45
244A,00:45 Min,0,45,45
244D,00:45 Min,0,45,45
246,00:45 Min,0,45,45
250L,00:45 Min,0,45,45
252GA,00:45 Min,0,45,45
252H,00:45 Min,0,45,45
265F,00:45 Min,0,45,45
271D,00:45 Min,0,45,45
276D,00:45 Min,0,45,45
276K,00:45 Min,0,45,45
279,00:45 Min,0,45,45
279H,00:45 Min,0,45,45
284B,00:45 Min,0,45,45
286G,00:45 Min,0,45,45
287D,00:45 Min,0,45,45
287JA,00:45 Min,0,45,45
287K,00:45 Min,0,45,45
288A,00:45 Min,0,45,45
288D,00:45 Min,0,45,45
289AB,00:45 Min,0,45,45
290A,00:45 Min,0,45,45
290S,00:45 Min,0,45,45
291,00:45 Min,0,45,45
291M,00:45 Min,0,45,45
291N,00:45 Min,0,45,45
293P,00:45 Min,0,45,45
294C,00:45 Min,0,45,45
296T,00:45 Min,0,45,45
297F,00:45 Min,0,45,45
300B,00:45 Min,0,45,45
300P,00:45 Min,0,45,45
302G,00:45 Min,0,45,45
302J,00:45 Min,0,45,45
303B,00:45 Min,0,45,45
303C,00:45 Min,0,45,45
303D,00:45 Min,0,45,45
304A,00:45 Min,0,45,45
311C,00:45 Min,0,45,45
311E,00:45 Min,0,45,45
311F,00:45 Min,0,45,45
313C,00:45 Min,0,45,45
314FA,00:45 Min,0,45,45
315C,00:45 Min,0,45,45
328C,00:45 Min,0,45,45
330M,00:45 Min,0,45,45
334B,00:45 Min,0,45,45
335C,00:45 Min,0,45,45
341A,00:45 Min,0,45,45
343H,00:45 Min,0,45,45
346CA,00:45 Min,0,45,45
366A,00:45 Min,0,45,45
366AB,00:45 Min,0,45,45
369,00:45 Min,0,45,45
369B,00:45 Min,0,45,45
400,00:45 Min,0,45,45
412A,00:45 Min,0,45,45
415A,00:45 Min,0,45,45
415B,00:45 Min,0,45,45
415F,00:45 Min,0,45,45
415G,00:45 Min,0,45,45
502E,00:45 Min,0,45,45
504E,00:45 Min,0,45,45
1F,00:50 Min,0,50,50
KHC-1,00:50 Min,0,50,50
2B,00:50 Min,0,50,50
MF-5,00:50 Min,0,50,50
MF-10,00:50 Min,0,50,50
FDR-11,00:50 Min,0,50,50
12B,00:50 Min,0,50,50
12D,00:50 Min,0,50,50
12F,00:50 Min,0,50,50
13D,00:50 Min,0,50,50
15G,00:50 Min,0,50,50
15H,00:50 Min,0,50,50
25A,00:50 Min,0,50,50
25B,00:50 Min,0,50,50
25D,00:50 Min,0,50,50
25N,00:50 Min,0,50,50
25R,00:50 Min,0,50,50
29,00:50 Min,0,50,50
31A,00:50 Min,0,50,50
34C,00:50 Min,0,50,50
34F,00:50 Min,0,50,50
37B,00:50 Min,0,50,50
43D,00:50 Min,0,50,50
45E,00:50 Min,0,50,50
45F,00:50 Min,0,50,50
45K,00:50 Min,0,50,50
59A,00:50 Min,0,50,50
59D,00:50 Min,0,50,50
60B,00:50 Min,0,50,50
68,00:50 Min,0,50,50
75B,00:50 Min,0,50,50
75H,00:50 Min,0,50,50
77,00:50 Min,0,50,50
79D,00:50 Min,0,50,50
79F,00:50 Min,0,50,50
79K,00:50 Min,0,50,50
80C,00:50 Min,0,50,50
80E,00:50 Min,0,50,50
89H,00:50 Min,0,50,50
95,00:50 Min,0,50,50
98E,00:50 Min,0,50,50
99B,00:50 Min,0,50,50
111,00:50 Min,0,50,50
111C,00:50 Min,0,50,50
126,00:50 Min,0,50,50
161C,00:50 Min,0,50,50
171F,00:50 Min,0,50,50
171G,00:50 Min,0,50,50
171H,00:50 Min,0,50,50
196,00:50 Min,0,50,50
201MA,00:50 Min,0,50,50
210A,00:50 Min,0,50,50
210C,00:50 Min,0,50,50
210I,00:50 Min,0,50,50
210U,00:50 Min,0,50,50
210V,00:50 Min,0,50,50
210X,00:50 Min,0,50,50
210Z,00:50 Min,0,50,50
215D,00:50 Min,0,50,50
215E,00:50 Min,0,50,50
215X,00:50 Min,0,50,50
220A,00:50 Min,0,50,50
220E,00:50 Min,0,50,50
223F,00:50 Min,0,50,50
223G,00:50 Min,0,50,50
