busstop,trips
"Devagere Cross,DEVAGERE CROSS,IN FRONT OF SHWETHA HOME SOLUTION","10"
"Devalingaiah Palya,HEJJALA,OPPOSITE OF GOVERNMENT SCHOOL","10"
"Devegowda Petrol Bunk,Padmanabhanagara,Opp Petrol Bunk","10"
"Dhobhi Ghatt","10"
"Dodda Gattiganabbe,IN FRONT OF RESIDENTIAL AREA","10"
"Dodda Jala Mylanahalli Road,DODDA JALA,IN FRONT OF GOVERNMENT SCHOOL","10"
"Dodda Kuntanahalli,DODDA KUNTANAHALLI,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","10"
"Doddajala Gate,DODDAJALA,IN FRONT OF  NILAGIRI THOPU","10"
"Doddakannalli,DODDAKANNALLI,IN FRONT OF HOTEL BLUE STAR OR TEMPLE","10"
"Doddammana Devasthana,CHIKKA NAGAMANGALA,OPPOSITE OF DODDAMMA DEVI TEMPLE","10"
"Donnenahalli,DONENAHALLI,IN FRONT OF GOVERNMENT SCHOOL","10"
"Donnenahalli,DONENAHALLI,NEAR MILK DAIRY","10"
"East railway station","10"
"Fayazabad","10"
"GEJJAGADAHALLI CROSS,GEJJAGADAHALLI,BESIDE SRI MAHALAKSHMI CHATS CENTRE","10"
"GOOLIMANGALA,HUSKURU POST, SARJAPURA, HUBLI,NEAR ASHWATHA KATTE & RESIDENTIAL","10"
"Gadenahalli,IN FRONT OF ANJANEYA TEMPLE","10"
"Ganagaluru,HOSAKOTE TALUK,IN FRONT OF NAVAGRAHA TEMPLES, NANJUNDESHWARA TEMPLE","10"
"Ganapathi Nagar,CHIKKA BANAVARA,BESIDE HOTEL SRIDEVI","10"
"Gandhinagar,PATAREDDY PALYA,IN FRONT OF GOKUL GARDEN","10"
"Ganga Nagara,RT NAGARA,OPPOSITE OF FEDERAL BANK","10"
"Gangasandra,GANGASANDRA,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL","10"
"Geddalahalli,GEDDALAHALLI,BESIDE VINOD JEWELLERS","10"
"Geleyara Balaga,GELYARA BALAGA,BESIDE UNION BANK OF INDIA","10"
"Giddenahalli,GIDDENA HALLI,IN FRONT OF ARALI KATTE","10"
"Gopalnagara,GOPALANAGARA,IN FRONT OF RESIDENTIAL AREA","10"
"Goravigere gate","10"
"Gottigere High School Himagiri","10"
"Graphite India,KUNDALAHALLI,OPPOSITE OF ADVAITH HYUNDAI","10"
"Gubbalala,GUBLALA,OPPOSITE OF ANJANEYA TEMPLE","10"
"Guddadahalli Dinne,IN FRONT OF RESIDENTIAL AREA","10"
"Gundanjaneya Swamy Temple,RAVGODLU,IN FRONT OF ANJANEYA TEMPLE","10"
"HSR 19th Main 13th Cross,HSR LAYOUT 1ST SECTOR,IN FRONT OF PHD PIZZA HUT & OPPOSITE OF LISS PRACADE","10"
"Haridasa Nagara","10"
"Harohalli Cross,BESIDE ANJANEYA TEMPLE","10"
"Harohalli,NAGENAHALLI,IN FRONT OF GEETHA PROVISION STORE","10"
"Hejjala Colony,HEJJALA,BESIDE HUNASE MARA","10"
"Hejjala,HEJJALA,NEAR CANARA BANK","10"
"Hoodi rly gate,AYYAPPA NAGARA,IN FRONT OF MEERA DEPARTMENTAL STORES","10"
"Hosa Doddi ,HOSADODDI,IN FRONT OF DOOR NO-30","10"
"Hosa Doddi Gate,HOSADODDI,OPPOSITE OF NARAYANA GURUKULA","10"
"Hosahalli,DEVANAGONDI,OPPOSITE OF SAGAR TENT HOUSE","10"
"Hosakere,SULIKERE,OPPOSITE OF SHANI MAHATHMA TEMPLE","10"
"Hosapallya,HOSAPALLYA,OPPOSITE OF LAKSHMI PROVISION STORES","10"
"Hosur","10"
"Hotel Hemarold,IN FRONT OF SULTAN HOTEL","10"
"Hunnigere,NEAR RESIDENCE","10"
"Hunnigere,OPPOSITE OF RESIDENCE","10"
"Huttanahalli Cross,UTTANAHALLI,OPPOSITE OF GOVERNMENT SCHOOL","10"
"I Basapura,IBASAPURA","10"
"I Basapura,OPPOSITE OF MILK DAIRY","10"
"Ideal Homes,RAJESHWARI NAGARA,IN FRONT OF GANESH MEDICALS","10"
"Ittamadu,ITTAMADU,IN FRONT OF VENKATESHWARA AQUARIUM","10"
"Ittige Factory Yalahanka,AGRAHARA,OPPOSITE OF MANJUNATH TENT HOUSE","10"
"Ittige Factory,BESIDE BRICK FACTORY","10"
"Ittina Neela Apartment","10"
"JP Nagara 5th Phase,JP Nagara,Bank of Maharastra","10"
"JP Nagara 6th Phase,JP Nagara,Beside Indus Ind Bank","10"
"Jangama Kote","10"
"Jigala Cross","10"
"Jn of ilyas Nagara Road,ILYASA NAGARA,IN FRONT OF HOTEL BOMBAY DARBAR","10"
"K Mallasandra,IN FRONT OF SRI RENUKA YALLAMMA TEMPLE","10"
"K Mallasandra,OPPOSITE OF GOVERNMENT MILK DAIRY","10"
"KEB Office,AGARA,BESIDE SWANANDA BALAGANAPATHY TEMPLE","10"
"KUDLU PANCHAYAT OFFICE","10"
"Kachamarakanahalli,GUNJURU POST,IN FRONT OF MANJUNATHA TEMPLE","10"
"Kada Sonappana Halli","10"
"Kadirenahalli Cross,Banashankari,Under Pass","10"
"Kaggalahalli ,KAGALAHALLI,IN FRONT OF SHANIMHATHMA TEMPLE","10"
"Kajisonnena halli","10"
"Kakaramana Halli,IN FRONT OF BASAVANNA TEMPLE","10"
"Kakaramana Halli,OPPOSITE OF BASAVANNA TEMPLE","10"
"Karenahalli,OPPOSITE OF ANJANEYA TEMPLE","10"
"Kattiganahalli,OPPOSITE OF MASJID","10"
"Kempadyapana Halli,KENDAPPANAHALLI,BESIDE RESIDENTIAL AREA","10"
"Kethaganahalli,KITHIGANAHALLI,OPPOSITE OF GRAMADEVATHE TEMPLE","10"
"Kittaganur Cross","10"
"Kodihalli Hesarugatta,KODIHALLI,OPPOSITE OF GOVT.SCHOOL,ANGANAVADI","10"
"Kondashettihalli Byalakere,KONDU SHETTYHALLI,BESIDE  ANJANEYA TEMPLE","10"
"Koratageredoddi Bannerghatta","10"
"Krishna Sagar Hosakerahalli,KRISHNA SAGARA,IN FRONT OF RAJALAKSHMI WINES","10"
"Kudhuregere colony Madhanayakanahalli,KUDREGERE COLONY,BESIDE SRI SIDDAGANGA INTERNATIONAL PUBLIC SCHOOL","10"
"Kudlu ","10"
"Kuguru,BESIDE RESIDENTIAL AREA","10"
"LPG Gas company,IOC ROAD,IN FRONT OF IOC LORRY SERVICE","10"
"Laggere Bridge","10"
"Laksmi Temple,GATTIGERE PALYA,OPPOSITE OF LAKSHMI TEMPLE","10"
"Lalbagh Society,WILSON GARDEN,BESIDE HOPCOMS","10"
"Laxmaiah Badavane","10"
"Laxmaiah Badavane Cross","10"
"Laxmi Farm ,CHIKKA NAGAMANGALA,OPPOSITE OF B.M.T.C. DEPOTE-38","10"
"Leggere Circle,LAGGERE,OPPOSITE OF BMTC LAGGERE BUS STAND","10"
"MPalya,BETHAMGERE,BESIDE RESIDENTIAL AREA","10"
"Madanayakanahalli,MADUNAYAKANAHALLI,BESIDE BUILDING","10"
"Madapatna,BESIDE OPEN AREA","10"
"Madappanahalli Cross,IN FRONT OF ANJANEYA TEMPLE","10"
"Madappanahalli,IN FRONT OF BASAVESHWARA TEMPLE","10"
"Madeshwara Nagara","10"
"Madiwala Market","10"
"Mahadeva Kodigehalli,MAHADEVA KODIGEHALLI,BESIDE PITTY SHOP","10"
"Maimanapalya,MAHIMANNANA PALYA,IN FRONT OF ANJANEYA TEMPLE","10"
"Makanahalli,MAKANAHALLI,IN FRONT OF SHAKING TAILORS","10"
"Manchanabele,MANCHANA BELE,IN FRONT OF SRI MANJUNATHA SWAMY ENTERPRISES","10"
"Maragondanahalli","10"
"Marale Gowdanadoddy,VEEREGOWDANA DODDI,IN FRONT OF POST OFFICE","10"
"Maranayakanahalli","10"
"Maruthinagara cross","10"
"Mother Milk Dairy Cross,UGANAVADI,IN FRONT OF SOUMYA WINES","10"
"Mullur,MULLURU,IN FRONT OF WATER TANK","10"
"Muniswamappa Layout","10"
"Muthurayapura Cross,BETTAHALLI KAVAL,BESIDE OPEN AREA","10"
"Mylanahalli Cross","10"
"Mylanahalli,MYLANAHALLI,IN FRONT OF GOVT. HOSPITAL","10"
"NIFT COLLEGE,HSR LAYOUT 2ND SECTOR,OPPOSITE OF NIFT COLLEGE","10"
"NRI Layout,Kalkere,Sundara Anjaneya Temple","10"
"Naduvatti,NADAVATHI,IN FRONT OF GOVT.SCHOOL","10"
"Nagadasanahalli,NAGADASANA HALLI,IN FRONT OF GOVT. SCHOOL","10"
"Nagapura,MAHALAKSHMIPURAM,IN FRONT OF RAGHAVENDRA CLINIC","10"
"Nagarabhavi 12th Block","10"
"Nagenahalli Gate,NAGENAHALLI,BESIDE OPEN AREA","10"
"Nagenahalli Nagadasanahalli,NAGENAHALLI,IN FRONT OF SRI RAMA TEMPLE","10"
"Nandashree Choultry,HOSAKOTE,IN FRONT OF NANDASHREE CHOULTRY","10"
"Nawkal palya,NOWKAL PALYA,IN FRONT OF GOVT.HIGHER PRIMARY SCHOOL","10"
"Nekkundi Dommasandra","10"
"New Bhyrahalli cross,BEEDI COLONY,IN FRONT OF ALADAMARA","10"
"Nimbekayipura,OPPOSITE OF ALADAMARA","10"
"Nursery,SULIKERE,OPPOSITE OF FOREST NURSERY AND OFFICE","10"
"Ondimane,OPPOSITE OF MUNESHWARA TEMPLE","10"
"Panditana Agrahara Gate,SARJAPURA HOBLI,BESIDE OPEN AREA","10"
"Pettanahalli Cross,PETTANAHALLI,BESIDE OPEN AREA","10"
"Pillaganahalli ","10"
"Power House,JP NAGARA 6TH PHASE,BESIDE REEBOK SHOW ROOM","10"
"RAILWAY GOLLAHALLI ARCH,RAILWAY GOLLAHALLI,IN FRONT OF WATER TANK","10"
"RMS,SANJAYA NAGARA,BESIDE MAMATA HOSPITAL","10"
"RT Nagara Post Office","10"
"RTNagara,RT NAGARA,IN FRONT OF HOPCOMS, OPPOSITE OF BBMP PARK & INDIAN OVERSEAS BANK","10"
"RWB Gate,KENGERI,OPPOSITE OF KSRTC REGIONAL WORK SHOP","10"
"Rajanukunte,IN FRONT OF GOVT.HOSPITAL","10"
"Rajeev Gandhi Nagara","10"
"Ramanahalli,RAMANAHALLI,OPPOSITE OF RESIDENTIAL AREA","10"
"Ramanayakanahalli","10"
"Ravugodlu ,RAVGODLU,OPPOSITE OF GOVT.HIGHER PRIMARY SCHOOL","10"
"Rayasandra ,RAYASANDRA","10"
"SOLURU","10"
"SRS kalyana Mantapa,O.M.B.R.LAYOUT,OPPOSITE OF S.R.R.KALYANA MANTAPA","10"
"Sahakara Nagar Cauvery School","10"
"Sampige,ELECTRONIC CITY POST,OPPOSITE OF AMBIKA DEPARTMENT STORE","10"
"Sanjay Nagara,SANJAYA NAGARA,BESIDE NANDINI MILK PARLOUR","10"
"Sarjapura circle","10"
"Seegehalli","10"
"Seegehalli Gate","10"
"Seegehalli,SEEGEHALLI,NEAR MILK DAIRY","10"
"Seegehalli,SIGEHALLI,IN FRONT OF SAMUDAYA BHAVANA","10"
"Shampura,SHAMPURA,OPPOSITE OF ABHISHAKE DARSHINI","10"
"Shanubhogana Halli","10"
"Sheshagiri Halli Mysore Road,SHESHAGIRI PURA,OPPOSITE OF WATER TANK","10"
"Shettigowdana Doddi,IN FRONT OF GANESHA TEMPLE","10"
"Shikaripalya,GOLLAHALLI,BESIDE CHURCH","10"
"Siddapura 7th Cross,SOMESHWARA NAGARA,OPPOSITE OF POSALY INTERNATIONAL","10"
"Singasandra,ELECTRONIC CITY POST,OPPOSITE OF FRUIT MARKET GATE","10"
"Sitha Rama Palya,SEETHARAMA PALYA,IN FRONT OF WATER TANK","10"
"Soladevana Halli,SOLADEVANAHALLI,IN FRONT OF ANJANEYA TEMPLE","10"
"Solur,IN FRONT OF MILK DAIRY","10"
"Srinidhi Hotel,DODDA BANASAWADI,IN FRONT OF SRINIDHI HOTEL","10"
"Srinivasa Nagara,BANASHANKARI 1ST STAGE,IN FRONT OF BANK OF BARODA","10"
"Sriramanahalli Cross,OPPOSITE OF MAHALAKSHMI TEMPLE","10"
"Subhash Nagara,BESIDE BACK APPARTMENT","10"
"Sugatta,BESIDE ALADAMARA","10"
"Sulikere Palya","10"
"Tataguni,DODDA TATAGUNI,IN FRONT OF MILK DAIRY","10"
"Tharabahalli Gate,DODDAJALA,IN FRONT OF I.T.C.FACTORY","10"
"Tharabana Halli Choultry,THARABANAHALLI,BESIDE SAPTAGIRI STORES","10"
"Tharabana Halli Devanahalli Road,THARABANAHALLI,IN FRONT OF GOVT. SCHOOL","10"
"Tharabana Halli,IN FRONT OF MINI WATER TANK","10"
"Thippasandra Gate,ARALIMARA(LEFT SIDE)","10"
"Thippenahalli Anjaneya Temple,TIPPENAHALLI,BESIDE SRI ANJANEYA SWAMY TEMPLE","10"
"Thiruranga","10"
"Uttarahalli,UTTANAHALLI,OPPOSITE OF DHANALAKSHMI TEMPLE","10"
"VB Bakery","10"
"VIT Cross Devanahalli Road,BESIDE OPEN AREA","10"
"Vaghata,VAGATA,OPPOSITE OF GOVERNMENT SCHOOL","10"
"Vajarahalli Cross,AVARAGERE,BESIDE OPEN AREA","10"
"Valepura","10"
"Varanasi","10"
"Venkatapura Gate","10"
"Vinayaka Nagara Nayandahalli,Nayandahalli","10"
"Viratanagara Cross,DEVARACHIKKANAHALLI,BESIDE HOTEL VARSHA","10"
"Vishwanathapura,OPPOSITE OF GOVT. SCHOOL","10"
"Vishweshwaraiah College,BESIDE V.I.T.COLLEGE","10"
"Vittasandra","10"
"Yale Kodigehalli","10"
"Yellappa reddy house","10"
"mutyanalluru circle","10"
"AGS Layout Manganahalli,Hullalu,Near Park","12"
"Aane Kempegowdana Doddi,IN FRONT OF GOVERNMENT SCHOOL","12"
"Abbaiah Layout,ABBAIAH REDDY LAYOUT,OPPOSITE OF APOLLO PHARMACY","12"
"Agrahara Gate","12"
"Amruthnagar,AMRUTH NAGARA,OPPOSITE OF INDIA LTD","12"
"Amruthnagar,IN FRONT OF R.M.Z.","12"
"Anchipura,ANCHIPURA,IN FRONT OF MILK DAIRY","12"
"Anjanapura,ANJANAPURA,IN FRONT OF SANTA MAHAGANAPATHI TEMPLE","12"
"Arehalli,OPPOSITE OF ASHWATHA KATTE","12"
"Ashraya Badavane","12"
"Attivatta Gate","12"
"Audugodi Police Station","12"
"Ayyappa Bakery,O.M.B.R.LAYOUT,OPPOSITE OF AYYAPPA BAKERY","12"
"Ayyappa Temple,SUBBAIAHAN PALYA,IN FRONT OF MITSUBISHI ELECTRIC","12"
"BYROHALLI CROSS,SULIKERE,BESIDE OPEN AREA","12"
"Bakery Nandini Layout,NANDINI LAYOUT,OPPOSITE OF S.S.V.B.BAKERY","12"
"Balagere,PANATHURU POST, VARTHURU HOBLI,BESIDE BALAGERE MILK PRODUCT CO-OPERATIVE LIMITED","12"
"Bangalore Central Jail,NAGANATHAPURA,OPPOSITE OF S.R.N.REDDYS INDUSTRIAL COMPLEX","12"
"Basavanahalli Mylahhali,BASAVANAHALLI,IN FRONT OF GRAMA PANCHAYAT OFFICE","12"
"Basavanapura ,OPPOSITE OF GOVT. MILK DAIRY","12"
"Basavanapura,BANNIKUPPE,OPPOSITE OF GANESHA TEMPLE","12"
"Beguru,BEGURU,BESIDE POULTRY FARM","12"
"Bettahalasuru cross,BETTA ULSOOR,OPPOSITE OF WATER TANK","12"
"Bidalapura,BIDALAPURA,IN FRONT OF MILK DAIRY","12"
"Bileshivale,BILESHIVALE,BESIDE DEPARTMENT STORES","12"
"Biscuit Factory Mysore Road,KUMBALAGUDU,OPPOSITE OF Y.M.C.A. PUBLIC SCHOOL","12"
"Bommanabande,IN FRONT OF HUNASE MARA","12"
"Boodigere Cross","12"
"Budamanahalli,BUDAMANA HALLI,BESIDE GOVT.PRIMARY SCHOOL","12"
"Byalalu,BYALALU,OPPOSITE OF ANJANEYA TEMPLE","12"
"Bylakonenahalli,BYLAKONDANAHALLI,IN FRONT OF WATER TANK","12"
"Byrasandra","12"
"Byrathi Bande","12"
"Byrohalli,OLD BYROHALLI,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","12"
"CENTRAL RESERVE POLICE FORCE,GUTTEPALYA,IN FRONT OF TRAINING SCHOOL","12"
"Channarayapatna","12"
"Channaveeraiahna Palya,CHANNAVEERAYYANA PALYA,BESIDE BAKTHA MUNESHWARA TEMPLE","12"
"Chaya Nursing Home","12"
"Chikkanahalli Gate,KARIBERANA HOSAHALLI,IN FRONT OF ANJANEYA TEMPLE","12"
"Chikkanahalli,OPPOSITE OF BYRAVESHWARA TEMPLE","12"
"Chimachanahalli","12"
"Chokkanahalli Cross,AREKERE SITE,BESIDE OPEN AREA","12"
"Chokkanahalli Dibbur,CHOKKENAHALLI,BESIDE BASAVANNA TEMPLE","12"
"Chokkanahalli,CHOKKANAHALLI,OPPOSITE OF RAMA TEMPLE","12"
"Chowdeshwari Bus Stand JP Park,MATHIKERE, CHOUDESHWARI BUS STOP,BESIDE BMTC MAIN BUS STAND, CHOUDESHWARI STOP","12"
"Commercial Street,BESIDE ASC CENTRE","12"
"DODDA THOGOOR,ELECTRONIC CITY-BEGURU HUBLI POST,BESIDE SHRI PATALAMMA DEVI TEMPLE","12"
"Devaganahalli,JONAHALLI,BESIDE MARUTHI HIGHER PRIMARY SCHOLL","12"
"Devara Siddiahana Doddi,DEVISIDDAIAHNA DODDI,OPPOSITE OF GANESHA TEMPLE","12"
"Dhananayakanahalli","12"
"Dibbur Cross,DIBBUR GATE,BESIDE OPEN AREA","12"
"Dodda Aladamara Cross,TAVAREKERE,BESIDE OPEN AREA","12"
"Doddaballapura Railway Station,DODDABALLAPURA,BESIDE GOVT.HOSPITAL","12"
"Doddabettahalli,DODDA BETTAHALLI,BESIDE MARAMMA TEMPLE","12"
"Doddahagade,ANEKAL TALUK,OPPOSITE OF AGRICULTURE SERVICE CO-OPERATIVE SOCIETY","12"
"Dubasi Palya","12"
"GANESHA TEMPLE,NELAMANGALA,BESIDE OPEN AREA","12"
"Ganagaluru Cross,GANGALURU,BESIDE ASHWATHA KATTE & FIELDS","12"
"Gandhi Bhavan,JNANA BHARATHI, BANGALORE UNIVERSITY,IN FRONT OF GANDHI BHAVANA","12"
"Gangondanahalli,GANGONDANAHALLI,BESIDE GOVERNMENT PRIMARY SCHOOL","12"
"Gantakanadoddi Cross,GANTAKANA DODDI,IN FRONT OF S.B.BAKERY","12"
"Garkemanthana Palya","12"
"Ghanigara Halli,GANIGARAHALLI,BESIDE ANGANAWADI KENDRA","12"
"Gnanashakti Nagar","12"
"Gobbaradha Factory,BANNERGHATTA,OPPOSITE OF BALAJI KALYANA MANTAP","12"
"Gollarahalli","12"
"Govinda Pura","12"
"Gubbalala,GUBLALA,IN FRONT OF ANJANEYA TEMPLE","12"
"H Cross,BESIDE OPEN AREA","12"
"HAL Main gate","12"
"HGollahalli,H. GOLLAHALLI,IN FRONT OF OVER HEAD WATER TANK","12"
"HMT watch factory","12"
"Hakki Pikki Colony,BHOOTANAHALLI,IN FRONT OF OVERHEAD TANK","12"
"Hamsa Farm","12"
"Haralur Cross","12"
"Haralur,HARALURU,IN FRONT OF MILK DAIRY","12"
"Harti palya,ARTHIPALYA,BESIDE OPEN AREA","12"
"Hockey Ground,FRAZER TOWN,IN FRONT OF KENDRIYA VIDYALAYA","12"
"Hongemara","12"
"Hosahalli","12"
"Hosapallya,BOMMANAHALLI  POST,OPPOSITE OF DHANAVANTHRI MEDICAL & GENERAL STORES","12"
"Hosapalya,BESIDE OPEN AREA","12"
"Hosur,HOSURU,IN FRONT OF MILK DAIRY","12"
"Hullegowdanahalli,HULLEGOWDANA HALLI,BESIDE ANJANEYA TEMPLE","12"
"Hunisemarada Palya,BESIDE OPEN AREA","12"
"Hunnigere,HUNIGERE,BESIDE MARAMMA TEMPLE","12"
"Hyadalu,HYADALU,BESIDE OPEN AREA","12"
"ITI Colony Vidya peeta circle,VINAYAKANAGARA,OPPOSITE OF SBI BANK","12"
"ITI LAYOUT","12"
"Indiranagar Tumkur Road,INDIRA NAGARA,BESIDE OPEN AREA","12"
"Isolation Hospital,OLD BAYAPPANAHALLI,BESIDE MILITARY LAND","12"
"JADIGENAHALLI HOSPITAL","12"
"Jalappa Campus,DODDABALLAPURA,IN FRONT OF R.L.JALAPPA COLLEGE","12"
"Jayanagar HBCS Layout","12"
"Jn of Palace Road","12"
"Jodi Ragi Thimmasandra,JODI THIMMASANDRA,IN FRONT OF MARAMMA TEMPLE","12"
"Jogana Palya,JOGANAPALYA,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL","12"
"K Dommasandra","12"
"KATTIGENAHALLI CROSS","12"
"KITTANAHALLI,KITTANAHALLI,BESIDE GOVERNMENT PRIMARY SCHOOL","12"
"KRS Gowda Layout,H.M.T.LAYOUT,BESIDE MADHU TIFFEN CENTER","12"
"Kachohalli Cross,GOLLARAHATTI,BESIDE M.S.ENGINEERING WORKS","12"
"Kadirenahalli Village,KADIRENAHALLI,BESIDE OPEN AREA","12"
"Kagalahalli,KAGGALAHALLI,IN FRONT OF GRAMA PANCHAYAT OFFICE","12"
"Kaggalahalli,KAGGALAHALLI,IN FRONT OF MILK DAIRY","12"
"Kalyana Nagara,KALYANA NAGARA ROAD,BESIDE TANISHQ JEWELS","12"
"Kamakshipalya ,KAMAKSHIPURA,BESIDE PETTY SHOP","12"
"Karekal Palya Cross,KAREKAL HALLI,IN FRONT OF RESIDENTIAL AREA","12"
"Karekallu Cross,OPPOSITE OF RIMA TRASNFORMER FACTORY","12"
"Katammana Doddi,KATAMANA DODDI,IN FRONT OF PUMP HOUSE","12"
"Kattiganahalli,IN FRONT OF MASJID","12"
"Kempaiahanapalya Cross,KEMPAIAHAN PALYA,BESIDE OPEN AREA","12"
"Kempapura,KEMPAPURA,BESIDE ANJANEYA SWAMY TEMPLE","12"
"Kempegowda Garden,ABBIGERE,BESIDE SRI  MAHALAKSHMI TEMPLE","12"
"Kenchanayakanadoddi,KANCHAGAYANADODDI,OPPOSITE OF MAHADESHWARA TEMPLE","12"
"Kenganahalli,KENGANA HALLI,IN FRONT OF RESIDENTIAL AREA","12"
"Kittanahalli Palya,KITTANAHALLI CROSS,BESIDE PANCHAYATHI OFFICE","12"
"Kodigehalli Yelahanka road,KODIGEHALLI,BESIDE SRI VINAYAKA BAKERY & SWEETS","12"
"Kodigehalli-Doddaballapura,DODDABALLAPURA,IN FRONT OF GRAMA PANCHAYATH","12"
"Krishnadoddi Bannerghatta Road","12"
"Kulume Palya","12"
"Kumaraswamy Layout West,K.S.LAYOUT 2ND STAGE,OPPOSITE OF BALAJI STORES","12"
"Kumbala Halli","12"
"Kundalpura,OPPOSITE OF WATER TANK","12"
"Kurubarapalya,IN FRONT OF WATER TANK","12"
"Kuvempu Nagara 1st Stage,KUVEMPU NAGARA 1ST STAGE,BESIDE OPEN AREA","12"
"Kuvempu Nagara 2nd Stage,KUVEMPU NAGARA 2ND STAGE,BESIDE SUGUNA CHICKEN CENTER","12"
"Lakkondahalli Cross,BESIDE POULTRY FARM","12"
"Lakkondahalli Cross,LAKKONDAHALLI,BESIDE PITTY SHOP","12"
"Linganahalli,BESIDE OPEN AREA","12"
"Linganahalli,IN FRONT OF ASHWATHA KATTE","12"
"Lingegowdana Doddi,OPPOSITE OF GOVERNMENT SCHOOL","12"
"MCTC Bus Stand,TIMBER YARD LAYOUT,IN FRONT OF GANESH BAKERY","12"
"Madapatna,IN FRONT OF GOVERNMENT FAIR PRICE DEPOT","12"
"Magadi,MAGADI,OPPOSITE OF TATA PRERANA MOTORS","12"
"Mallapuara Tavare kere,MALLAPURA,BESIDE PROVISION STORE","12"
"Mallathalli Cross","12"
"Mallohalli Cross,CHANNADEVI AGARAHARA,BESIDE OPEN AREA","12"
"Maragondanahalli Cross,MARAGONDANAHALLI,BESIDE ASWATH KATTE","12"
"Maralagondalu,MARALAGONDALA,IN FRONT OF MUTURAYASWAMY TEMPLE","12"
"Marasandra Circle,IN FRONT OF BRUNDA PROVISION STORE","12"
"Marasandra Circle,MARASANDRA,IN FRONT OF ANJANEYA TEMPLE","12"
"Maruthi Layout,MARUTHI LAYOUT,IN FRONT OF SRINIVASAN GROUNDNUT SWEETS","12"
"Mavallipura,MAVALLIPURA,BESIDE SOCIETY","12"
"Medi Mallasandra,IN FRONT OF K.K.MOBILE CENTER","12"
"Minakunte Hosuru,DODDA JALA,OPPOSITE OF RAILWAY TRACK","12"
"Munnekolalu Cross","12"
"Munnekolalu,MARATHAHALLI,OPPOSITE OF SURYANARYANA NAVAGRAHA TEMPLE","12"
"Munnekolalu,MUNNEKOLALA, MARATHAHALLI POST,BESIDE SURYANARYANA NAVAGRAHA TEMPLE","12"
"Muthkur Hesaraghatta,MUTHKURU,BESIDE OPEN AREA","12"
"Muthsandra","12"
"NILGIRI WINES,JAKKURU,BEHIND AMBEDKAR BHAVAN","12"
"Nagarabhavi Village,NAGARABHAVI,BESIDE DENTAL MEDICAL CARE","12"
"Nagegowdana Palya Cross,TALAGUTA PURA,BESIDE OPEN AREA","12"
"Nagegowdana Palya,NAGEGOWDANA PALYA,IN FRONT OF DOOR NO-62","12"
"Narayanapura Cross,HEGDE NAGARA,BESIDE JAMIA RESIDENTIAL SCHOOL","12"
"Narayanapura,BESIDE GENERAL STORE","12"
"Nayanahalli","12"
"Nayanahalli Cross","12"
"Nettigere,NETTIGERE,OPPOSITE OF GOVT.HIGHER PRIMARY SCHOOL","12"
"Nrupathunga Nagar,NRUPATHUNGA NAGARA,IN FRONT OF CHANDANA HOSPITAL","12"
"Nrutya Grama,HASARAGHATTA,BESIDE OPEN AREA","12"
"Obalapura,OPPOSITE OF ALADAMARA","12"
"Old Gurrappana Palya,GURUPPANAPALYA,BESIDE MATHA AVALAMMANA TEMPLE","12"
"Palya Gate Devanahalli,OPEN AREA","12"
"Papaiahnapalya,PAPPAJANA PALYA,BESIDE MILK DAIRY","12"
"Parvathi Nagara","12"
"Raghavendra Colony","12"
"Ravi Badavane,NANDINI LAYOUT,IN FRONT OF INDIAN CAMBRIDGE SCHOOL","12"
"Ravogodlu ,RAVGODLU,IN FRONT OF GOVT.HIGHER PRIMARY SCHOOL","12"
"Rayasandra,HOSURU POST,BESIDE OPEN AREA, HOUSES, TANK","12"
"Samethanahalli,OPPOSITE OF ALADAMARA","12"
"Sapthagiri Layout,BESIDE SRI LAKSHMI VENKATESHWARA PROVISION STORES","12"
"Shanabhoganahalli Dibbur,SHANBOGANAHALLI,BESIDE RESIDENTIAL AREA","12"
"Shivanahalli","12"
"Shivanapura","12"
"Shylendra Doddi,SHEELENDRA DODDI,BESIDE OPEN AREA","12"
"Silk Board Attibele Road,MADIWALA,OPPOSITE OF BANK OF INDIA & FLYOVER","12"
"Singapura Layout,SINGAPURA LAYOUT,BESIDE SHREE LAKSHMI STEEL CENTER","12"
"Somasundarapalya,SOMASUNDRAPALYA LAYOUT HSR POST,IN FRONT OF FRIEND TAILOR & AMITH BAKERY","12"
"Sonnappanahalli,BETTA ULSOOR,NEAR GOVERNMENT SCHOOL","12"
"Sonne Halli,SONNENAHALLI,BESIDE WATER TANK","12"
"Soukhya Hospital,NADAVATHI,IN FRONT OF RAILWAY TRACKS & SOUKYA HOSPITAL","12"
"Srinivasa Nagara,BANASHANKARI 1ST STAGE, SRINIVASA NAGARA,IN FRONT OF MANGALADEEP MEDICALS","12"
"Sulikere,SULIKERE,IN FRONT OF VISHWESHWARA SWAMI HIGH SCHOOL","12"
"Surya City,CHANDAPURA POST & ANEKAL TALUK,OPPOSITE OF B.M.T.C.DEPARTMENT 32","12"
"T B Cross","12"
"TB Stop Tumkur Road,I.I.H.R.HESARAGHATTA,BESIDE OPEN AREA","12"
