busstop,trips
"Bommashetta Halli,BOMMASHETTIHALLI,IN FRONT OF MARAMMA TEMPLE","4"
"Bommashetty Halli,BESIDE OPEN AREA","4"
"Borehalli,OPPOSITE OF WATER TANK","4"
"Byappana Halli Satallite Bus Station,BYAPANAHALLI,OPPOSITE OF GANESH BAKERY","4"
"Byramangala Cross,BIDADI,IN FRONT OF PARVATHI ENTERPRISES","4"
"Byranayakana Halli College,BYRANAKANAHALLI,IN FRONT OF SHIVAKUMARA SWAMIJI POLYTECHNIC COLLEGE","4"
"Byranayakana Halli Railway Bridge,BYRANAKANAHALLI,IN FRONT OF JYOTHI SWEETS","4"
"Byrapura,BYRAPURA,BESIDE ANJANEYA TEMPLE","4"
"COCO COLA","4"
"Channadasi Palya,CHANNENADASI PALYA,IN FRONT OF MUNESHWARA GENERAL STORE","4"
"Channasandra ,CHANNASANDRA,BESIDE WATER TANK","4"
"Channenahalli,CHANNENA HALLI,IN FRONT OF HANUMAN PROVISION STORE","4"
"Chellahalli,CHALLAHALLI,BESIDE WATER TANK","4"
"Chikka Arasanahalli,CHIKKA ARASANAHALLI,IN FRONT OF ANGANAVADI & RAMA TEMPLE","4"
"Chikka Gubbi Cross ","4"
"Chikka Hosahalli","4"
"Chikka Kukkanahalli,KUKKANAHALLI,BESIDE OPEN AREA","4"
"Chikkabelavangala Gate,KANASAVADI,IN FRONT OF UDUPI HOTEL","4"
"Chikkanahalli Bande,CHIKKANAHALLI BANDE,IN FRONT OF PROVISION STORE","4"
"Chikkanahalli Gate,CHIKKENAHALLI,IN FRONT OF MANJUNATH CONDIMENTS","4"
"Chikkanahalli,CHIKKANAHALLI,IN FRONT OF ANGANAWADI KENDRA","4"
"Chokkanahalli,CHOKKANAHALLI,IN FRONT OF NAGASHREE CONDIMENTS","4"
"Chokkasandra GATE","4"
"Chowdanahalli,CHOWDANA HALLI,IN FRONT OF METRO CORPORATION","4"
"Chowkahalli","4"
"D.SHETTIHALLI","4"
"DADDA THAMANGALA","4"
"DEPOT-36","4"
"Dabbaguli Cross,Dabbaguli","4"
"Dabbaguli Manchanabele,OPPOSITE OF ANGANAVADI KENDRA","4"
"Dabbaguli,Dabbaguli,IN FRONT OF ANGANAVADI KENDRA","4"
"Dasenahalli Cross,DASENAHALLI,BESIDE OPEN AREA","4"
"Devalapura","4"
"Doddanallala,DODDA NALLAL,IN FRONT OF GRAMA PANCHAYAT OFFICE","4"
"Dodderi Grama,DODDERI VILLAGE,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Dombaradoddi,DOMBARA DODDI,OPPOSITE OF PREM MEDICALS","4"
"Dwarka Nagar,DWARAKANAGARA,BESIDE AMBEMA ELECTRICALS","4"
"Dyavasandra,THINDLU CIRCLE,OPPOSITE OF ALADAMARA","4"
"E Muthasandra","4"
"Elthore Uganawadi,JOGAHALLI,IN FRONT OF SAPOT FARM","4"
"Ganakkal,IN FRONT OF ANJANEYA TEMPLE","4"
"Ganesha Temple Tavarekere","4"
"Gavi Nagamangala Cross,IN FRONT OF BASAVESHWARA TEMPLE ARCH","4"
"Gear School","4"
"Giddappanahalli","4"
"Gollahalli,ELECTRONIC CITY,OPPOSITE OF CHANNAREDDY BUILDING","4"
"Gollahalli,GOLLAHALLI,AT RESIDENTIAL AREA","4"
"Gottipura,GOTTIPURA,IN FRONT OF ANJANEYA TEMPLE","4"
"Govinda Pura,GOVINDAPURA,BESIDE OPEN AREA","4"
"Govindapura Cross,GOVINDAPURA","4"
"Guddadahalli Hesaraghatta Road,KALGURADAHALLI,BESIDE PROVISION STORE","4"
"Guddadahalli,BESIDE OPEN AREA","4"
"Guddadahalli,DODDABALLAPURA,OPPOSITE OF SRI RAM TEMPLE","4"
"Guddahatti Gate,NERALURU POST, ATTIBELE,OPPOSITE OF YOKOSTONE, CYCLE TYRES & TUBES COMPANY","4"
"Guddahtti,ANEKAL TALUK,IN FRONT OF MILK PRODUCT CO-OPERATIVE SOCIETY","4"
"Gungarahalli,GUNGARAHALLI,IN FRONT OF MARAMMA TEMPLE","4"
"HULLAHALLI","4"
"Halasahalli Gate","4"
"Haniyur Cross,HANIYURU,BESIDE OPEN AREA","4"
"Hebbagodi,HEBBAGODI,IN FRONT OF POLICE QUARTERS OR OPPOSITE OF MASJID","4"
"Heggada gere,HEGGADAGERE,IN FRONT OF HOTEL","4"
"Hegganahalli Sadahalli,HEGGANAHALLI,OPPOSITE OF GOVT. SCHOOL","4"
"Helige Halli Colony","4"
"Heligehalli Gollarahatti","4"
"Hesaraghatta,HASARAGHATTA,BESIDE L.J.IYENGAR BAKERY & SWEETS","4"
"Hoduvagera Gate","4"
"Honachanahalli","4"
"Honnalagana Doddi","4"
"Huluvenahalli Cross,OPPOSITE OF WATER TANK","4"
"Hunnigere","4"
"Huttanahalli Cross,UTTANAHALLI,OPPOSITE OF NAGASHREE ENTERPRISES","4"
"I Gate ITPL Road,WHITEFIELD,BESIDE GINGER","4"
"IDIGANAHALLI","4"
"Indrasanahalli,THINDLU CIRCLE,BESIDE GOVT. MILK DAIRY","4"
"Ittige Factory,BESIDE RESIDENTIAL AREA","4"
"Jayanthi Nagar,JAYANTHI NAGARA,IN FRONT OF GANESHA BAKERY","4"
"Jinke Bachahalli,IN FRONT OF GOVERNMENT MILK DAIRY","4"
"Jinnagara Cross","4"
"Jn of Adigondanahalli Road","4"
"Jn of Gottipura Road,GOTTIPURA,BESIDE ANJANEYA TEMPLE","4"
"Jn of Kodenahalli Road,KONDENAHALLI,BESIDE HOTEL HARSHA","4"
"Jyoti Vidyalaya Hospital,HASARAGHATTA,BESIDE PETTY SHOP","4"
"K Chansandra,K.CHANNASANDRA,IN FRONT OF ANNAPOORNESHWARI HOTEL","4"
"KHB Colony ","4"
"KTPO,WHITEFIELD,IN FRONT OF GE HEALTH CARE GATE","4"
"Kada Sonnappanahalli","4"
"Kadasikoppa,KADASIKOPPA,IN FRONT OF ASHWATHA KATTE","4"
"Kadayarappanahalli,KADAYERRAPPANAHALLI,BESIDE OPEN AREA","4"
"Kadumane Hotel","4"
"Kakolu,KAKOLU,BESIDE ANJANEYA SWAMY TEMPLE","4"
"Kalathammanahalli,KALATHAMANAHALLI,BESIDE ANGANAWADI KENDRA","4"
"Kaleri,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Kalkere,KALKERE,IN FRONT OF B.B.M.P. OFFICE","4"
"Kallegoudana Palya,KALLEGOWDANAPALYA,BESIDE RESIDENTIAL AREA","4"
"Kallukunte Agrahara,KALKUNTE AGRAHARA,OPPOSITE OF RESIDENTIAL AREA","4"
"Kamarasanahalli,KAMARASANAHALLI,IN FRONT OF MILK DAIRY","4"
"Kamnahalli,OPPOSITE OF MINI WATER TANKS","4"
"Kannuru,KANNUR,BESIDE BYRAVESHWARA TEMPLE","4"
"Karenahalli","4"
"Karenahalli,IN FRONT OF ANJANEYA TEMPLE","4"
"Kariyappana Palya","4"
"Karlapura Gate,KARLAPURA GATE,BESIDE ARUNODAYA HIGH SCHOOL","4"
"Karlapura Palya,KARLAPURA PALYA,BESIDE WATER TANK","4"
"Karlapura,KARLAPURA,BESIDE RESIDENTIAL AREA","4"
"Karpura Gate,ANEKAL TALUK,BESIDE A.N.ELITE GARDERN","4"
"Kempa Thimmanahalli Cross,JOGAHALLI,OPPOSITE OF SAPOT FARM","4"
"Kempu Dommasandra,Near Anekal","4"
"Kenchanaguppe,KENCHANAKUPPE,IN FRONT OF SAMUDAYA BHAVANA","4"
"Kodahalli Gate,OPPOSITE OF NANJUNDESHWARA HOTEL","4"
"Kodahalli,IN FRONT OF RESIDENTIAL AREA","4"
"Kodihalli Hesarugatta,KODIHALLI,BESIDE GOVERNMENT PRIMARY SCHOOL","4"
"Kodimanchanahalli Gate Devanahalli Road","4"
"Kodiyala","4"
"Koli Farm Hegade Nagara Road,R.M.H.NAGARA,OPPOSITE OF C.R.P.QUARTERS","4"
"Kolliganahalli,KOLIGANAHALLI,IN FRONT OF AGRICULTURAL CO-OPERATIVE SOCIETY LTD.","4"
"Kolliganahalli,KOLIGANAHALLI,IN FRONT OF ANJANEYA SWAMY TEMPLE","4"
"Konanakunte New Bank colony Kanakapura Road,KONANAKUNTE,OPPOSITE OF BHUVANESHWARI TRADERS","4"
"Kudu Siddanapalya,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL","4"
"Kumbarahalli Cross,KUMBARA HALLI CROSS,BESIDE HITESH ENTERPRISES","4"
"Kundalapura,IN FRONT OF KUNDALAMMA TEMPLE","4"
"Kuppemala,KUPPEMALA,IN FRONT OF REVANNA SIDDESHWARA HOTEL","4"
"Kyalasanahalli,HULIMANGALA POST & JIGANI HUBLI,OPPOSITE OF VEENA PROVISION STORE","4"
"LAKSHMI TEMPLE,SONDEKOPPA,BESIDE HOTEL SRI VINAYAKA","4"
"LAKSHMIPURA,LAKSHMIPURA,OPPOSITE OF MALLESHWARA SWAMY TEMPLE","4"
"Lakkauru Circle,OPPOSITE OF GOVT. JUNIOR COLLEGE","4"
"Lingadeva Mallasandra Gate,OPPOSITE OF GOVT. SCHOOL","4"
"Lingadira Mallasandra,BESIDE ALADAMARA & MILK DAIRY","4"
"M Gopahalli,M.GOPALHALLI,OPPOSITE OF MILK DAIRY","4"
"MARURU,IN FRONT OF SOWMYA SHREE PROVISION STORE","4"
"MEDANAHALLI","4"
"Madhure,MADHURE,BESIDE MILK DAIRY","4"
"Madure,MADHURE,BESIDE MARAMMA TEMPLE","4"
"Magadi,IN FRONT OF PUSHPAGIRI BAKERY & SWEETS","4"
"Magadi,MAGADI,BESIDE K.S.R.T.C.BUS STAND","4"
"Mahadevapura,MAHADEVAPURA,IN FRONT OF MANJUNATAHA HOTEL","4"
"Managalu","4"
"Manchanabele,MANCHANA BELE,IN FRONT OF S.L.U.TRADERS","4"
