"12.91627","77.6353"
"13.0688057092","77.6035392112"
"13.0452256562","77.5083593443"
"13.0455367265","77.5055545145"
"13.0455508681","77.505437633"
"12.965155659","77.7182496209"
"12.9135427804","77.5408548363"
"12.9137988555","77.537567242"
"12.9123135846","77.5371301039"
"13.0581079654","77.5218753798"
"12.9384748449","77.5288206926"
"12.9623260601","77.6187350886"
"12.7739006032","77.4096591148"
"13.072527487","77.5236236032"
"13.0707920907","77.5295611923"
"13.0711771392","77.5277685624"
"13.07687","77.593"
"13.0983938671","77.6272983859"
"13.091056083","77.6194645839"
"12.7463457971","77.7075993547"
"13.0271806741","77.3670369972"
"13.0206251377","77.6835177962"
"13.011362137","77.6768584637"
"13.0115346654","77.6769405045"
"12.8243460569","77.4899349625"
"12.9363883961","77.3649637347"
"13.1021522624","77.777924604"
"13.1021456395","77.7777679509"
"13.0974607393","77.4706847218"
"13.0849729722","77.4656304306"
"12.9461","77.48664"
"13.0656375449","77.6007677802"
"13.0657345535","77.6007132556"
"12.9817447955","77.5744813129"
"13.0241015517","77.6929488994"
"12.8924006799","77.4574461787"
"12.767349197","77.4389363504"
"12.7702575359","77.4319265236"
"13.0079033634","77.4849448304"
"12.7091513916","77.6967182788"
"13.2044785527","77.7985718678"
"12.8565751661","77.3573923926"
"12.6995752161","77.3844646241"
"12.9589339001","77.8158710885"
"12.9417131486","77.5556886899"
"13.0303936441","77.6211266024"
"13.2166138388","77.5527151773"
"13.2164219912","77.55259156"
"13.2225291986","77.5651903862"
"13.2002217634","77.5380512523"
"12.9920521753","77.5045882047"
"12.9188384815","77.4525424048"
"12.9422499501","77.8365562372"
"12.9083351332","77.5381509543"
"12.7632187942","77.7670644655"
"12.9373766818","77.8299004917"
"13.1849805748","77.3251648132"
"13.2007661921","77.7735312323"
"13.0794942138","77.4240806812"
"13.159782107","77.4189100519"
"12.9064122192","77.4287483973"
"13.0268936538","77.5798920154"
"13.0524894757","77.6313129811"
"12.8746638376","77.2834693759"
"12.778562355","77.7701362804"
"12.7796878887","77.7705791813"
"13.1696446623","77.7938989682"
"12.957782335","77.5338304262"
"12.9579615806","77.5340494826"
"12.9438501969","77.6059405803"
"12.9614141257","77.6143743807"
"13.0358804552","77.7352636106"
"13.1351739081","77.5692125045"
"12.8699537171","77.7118589049"
"13.0333744778","77.4218795753"
"13.0061506389","77.6479392316"
"13.0042615087","77.7099780161"
"13.0059660244","77.6406978312"
"12.8706907581","77.5831441671"
"13.0003884771","77.6838859876"
"12.9853534333","77.7479886796"
"12.7863411427","77.3999205919"
"12.9175629124","77.5734471159"
"13.0109717958","77.6591979466"
"12.9308975867","77.6221266193"
"13.0515688123","77.5520220877"
"13.0520985806","77.5518767965"
"12.9949061337","77.2464230695"
"12.9227341442","77.5183255102"
"12.9711572945","77.6591127307"
"12.9603990132","77.7165352328"
"12.9097278656","77.5209439882"
"12.9155771688","77.5137337581"
"12.9026141482","77.4980216713"
"12.9069133989","77.4993742991"
"12.9082120208","77.509409555"
"12.9157944857","77.5107993153"
"13.0804444563","77.4505676462"
"13.1058773148","77.2942480446"
"12.8708311663","77.5832832634"
"12.9071372548","77.4742181266"
"12.8108153103","77.6957207283"
"12.9163005021","77.6161844661"
"12.9164504022","77.6067753888"
"13.2120813095","77.6733771617"
"13.0570226435","77.5072479827"
"13.1218776142","77.6114561944"
"13.1342663734","77.6689714785"
"12.8968060129","77.8418438587"
"12.9188928436","77.323676493"
"12.920020122","77.5138680548"
"13.0141887058","77.6583075702"
"13.1976793154","77.777164122"
"12.7768435947","77.3978851628"
"13.0126420203","77.6480188084"
"12.9250089024","77.5508426666"
"12.9248197205","77.3693200888"
"12.9668308809","77.5160578246"
"12.8668224796","77.3591814489"
"12.9098601407","77.5135467213"
"12.9097748405","77.5133751636"
"12.8304040987","77.4856147323"
"12.938602798","77.5535439435"
"12.8139153704","77.5810062267"
"12.8469668986","77.3838330517"
"12.9009661617","77.4670353516"
"13.1104264918","77.3882694006"
"13.0386340821","77.3147196096"
"13.2256517438","77.5767781557"
"13.2255722093","77.5766309156"
"12.9944013538","77.5526553249"
"12.9892916007","77.5425034958"
"13.2618796259","77.552624971"
"12.9848827443","77.5540816651"
"12.9223428969","77.4748789812"
"12.7521260949","77.7065466863"
"13.1835298607","77.6811222491"
"13.1836383904","77.6811323885"
"13.099267733","77.6421212448"
"12.8568998588","77.3648405946"
"13.0081972535","77.4348557259"
"13.1645823551","77.3943377332"
"12.8415174479","77.6320810074"
"13.1568345182","77.6228358598"
"13.1564611973","77.623411904"
"13.1614264958","77.6109997979"
"13.1615344677","77.6109232031"
"12.9119918098","77.4431219717"
"13.0169461203","77.4371675102"
"13.1002037215","77.4105355947"
"13.1374209502","77.6176571221"
"12.8947146277","77.4368110379"
"12.9787795404","77.8024115825"
"12.9227835582","77.5490759932"
"12.9425311257","77.4868171291"
"12.874192059","77.5406336581"
"12.7965980936","77.3845269239"
"12.7939014806","77.381266171"
"12.8061642374","77.7835420972"
"13.0601787565","77.7161336515"
"12.8102428805","77.4065890033"
"12.8120655113","77.4040384236"
"12.837454426","77.785077292"
"12.8374378029","77.7849760558"
"12.9836366498","77.6406822875"
"12.9645654561","77.5618709051"
"13.0655126668","77.4940164842"
"13.1075227845","77.2867436429"
"13.1594392776","77.3979167932"
"12.965535336","77.6027927242"
"12.8150368996","77.3201762924"
"12.8034995638","77.3145832199"
"13.1213336652","77.3684549387"
"12.8183296805","77.6898556447"
"13.1307233057","77.4190148681"
"13.1258261632","77.4167747789"
"13.1259079506","77.4167288025"
